Year,GEO,Age.group,Sex,Income.source,VALUE
1976,Canada,Total age group,Both sexes,Total income,31100
1977,Canada,Total age group,Both sexes,Total income,31300
1978,Canada,Total age group,Both sexes,Total income,31600
1979,Canada,Total age group,Both sexes,Total income,31400
1980,Canada,Total age group,Both sexes,Total income,31300
1981,Canada,Total age group,Both sexes,Total income,31100
1982,Canada,Total age group,Both sexes,Total income,29600
1983,Canada,Total age group,Both sexes,Total income,28000
1984,Canada,Total age group,Both sexes,Total income,28100
1985,Canada,Total age group,Both sexes,Total income,28800
1986,Canada,Total age group,Both sexes,Total income,29500
1987,Canada,Total age group,Both sexes,Total income,29800
1988,Canada,Total age group,Both sexes,Total income,31200
1989,Canada,Total age group,Both sexes,Total income,32100
1990,Canada,Total age group,Both sexes,Total income,30900
1991,Canada,Total age group,Both sexes,Total income,29400
1992,Canada,Total age group,Both sexes,Total income,29400
1993,Canada,Total age group,Both sexes,Total income,28600
1994,Canada,Total age group,Both sexes,Total income,28500
1995,Canada,Total age group,Both sexes,Total income,28900
1996,Canada,Total age group,Both sexes,Total income,27900
1997,Canada,Total age group,Both sexes,Total income,28000
1998,Canada,Total age group,Both sexes,Total income,28500
1999,Canada,Total age group,Both sexes,Total income,29500
2000,Canada,Total age group,Both sexes,Total income,29900
2001,Canada,Total age group,Both sexes,Total income,30800
2002,Canada,Total age group,Both sexes,Total income,30700
2003,Canada,Total age group,Both sexes,Total income,30500
2004,Canada,Total age group,Both sexes,Total income,30900
2005,Canada,Total age group,Both sexes,Total income,31200
2006,Canada,Total age group,Both sexes,Total income,31700
2007,Canada,Total age group,Both sexes,Total income,32700
2008,Canada,Total age group,Both sexes,Total income,32700
2009,Canada,Total age group,Both sexes,Total income,32800
2010,Canada,Total age group,Both sexes,Total income,32700
2011,Canada,Total age group,Both sexes,Total income,33100
2012,Canada,Total age group,Both sexes,Total income,33800
2013,Canada,Total age group,Both sexes,Total income,34500
2014,Canada,Total age group,Both sexes,Total income,34900
2015,Canada,Total age group,Both sexes,Total income,34600
2016,Canada,Total age group,Both sexes,Total income,34900
2017,Canada,Total age group,Both sexes,Total income,35800
2018,Canada,Total age group,Both sexes,Total income,36400
1976,Canada,Total age group,Both sexes,Market income,33200
1977,Canada,Total age group,Both sexes,Market income,32800
1978,Canada,Total age group,Both sexes,Market income,32800
1979,Canada,Total age group,Both sexes,Market income,32600
1980,Canada,Total age group,Both sexes,Market income,31600
1981,Canada,Total age group,Both sexes,Market income,31700
1982,Canada,Total age group,Both sexes,Market income,29300
1983,Canada,Total age group,Both sexes,Market income,27600
1984,Canada,Total age group,Both sexes,Market income,27900
1985,Canada,Total age group,Both sexes,Market income,28600
1986,Canada,Total age group,Both sexes,Market income,29100
1987,Canada,Total age group,Both sexes,Market income,29200
1988,Canada,Total age group,Both sexes,Market income,30500
1989,Canada,Total age group,Both sexes,Market income,31900
1990,Canada,Total age group,Both sexes,Market income,29100
1991,Canada,Total age group,Both sexes,Market income,27600
1992,Canada,Total age group,Both sexes,Market income,27500
1993,Canada,Total age group,Both sexes,Market income,27300
1994,Canada,Total age group,Both sexes,Market income,27500
1995,Canada,Total age group,Both sexes,Market income,27500
1996,Canada,Total age group,Both sexes,Market income,27500
1997,Canada,Total age group,Both sexes,Market income,28000
1998,Canada,Total age group,Both sexes,Market income,28100
1999,Canada,Total age group,Both sexes,Market income,28800
2000,Canada,Total age group,Both sexes,Market income,29400
2001,Canada,Total age group,Both sexes,Market income,29600
2002,Canada,Total age group,Both sexes,Market income,29400
2003,Canada,Total age group,Both sexes,Market income,29200
2004,Canada,Total age group,Both sexes,Market income,29600
2005,Canada,Total age group,Both sexes,Market income,30200
2006,Canada,Total age group,Both sexes,Market income,30400
2007,Canada,Total age group,Both sexes,Market income,31100
2008,Canada,Total age group,Both sexes,Market income,31600
2009,Canada,Total age group,Both sexes,Market income,31300
2010,Canada,Total age group,Both sexes,Market income,31200
2011,Canada,Total age group,Both sexes,Market income,31800
2012,Canada,Total age group,Both sexes,Market income,32100
2013,Canada,Total age group,Both sexes,Market income,32800
2014,Canada,Total age group,Both sexes,Market income,33700
2015,Canada,Total age group,Both sexes,Market income,33400
2016,Canada,Total age group,Both sexes,Market income,33200
2017,Canada,Total age group,Both sexes,Market income,33800
2018,Canada,Total age group,Both sexes,Market income,34300
1976,Canada,Total age group,Both sexes,Employment income,35800
1977,Canada,Total age group,Both sexes,Employment income,35700
1978,Canada,Total age group,Both sexes,Employment income,35600
1979,Canada,Total age group,Both sexes,Employment income,35200
